title,artist,genre
Shape of You,Ed Sheeran,Pop
Despacito,Luis Fonsi,Reggaeton
Blinding Lights,The Weeknd,Pop
Uptown Funk,Mark Ronson,Funk
Thinking Out Loud,Ed Sheeran,Pop
Sicko Mode,Travis Scott,Hip Hop
Happy,Pharrell Williams,Pop
Someone You Loved,Lewis Capaldi,Pop
Old Town Road,Lil Nas X,Country
Sunflower,Post Malone,Pop
Bad Guy,Billie Eilish,Pop
Watermelon Sugar,Harry Styles,Pop
Rockstar,Post Malone,Hip Hop
Dance Monkey,Tones and I,Pop
Havana,Camila Cabello,Pop
Believer,Imagine Dragons,Pop
Stressed Out,Twenty One Pilots,Pop
